Type,condition,replicate,raw_absorbance,ug/ml tet,mM IPTG,outlier,time
blank,,,0.04,,,,
measurement,0,0,0.043,0,0,0,0
measurement,0,0,0.045,0,0,0,1
measurement,0,0,0.057,0,0,0,2
measurement,0,0,0.105,0,0,0,3
measurement,0,0,0.338,0,0,0,4
measurement,0,0,0.584,0,0,0,5
measurement,0,0,0.787,0,0,0,6
measurement,0,0,0.939,0,0,0,7
measurement,0,0,1.111,0,0,0,8
measurement,0,0,1.207,0,0,0,9
measurement,0,0,1.248,0,0,0,10
measurement,0,0,1.259,0,0,0,11
measurement,0,1,0.044,0,0,0,0
measurement,0,1,0.045,0,0,0,1
measurement,0,1,0.058,0,0,0,2
measurement,0,1,0.11,0,0,0,3
measurement,0,1,0.351,0,0,0,4
measurement,0,1,0.557,0,0,0,5
measurement,0,1,0.774,0,0,0,6
measurement,0,1,0.905,0,0,0,7
measurement,0,1,0.99,0,0,0,8
measurement,0,1,1.098,0,0,0,9
measurement,0,1,1.207,0,0,0,10
measurement,0,1,1.08,0,0,0,11
measurement,0,2,0.045,0,0,0,0
measurement,0,2,0.045,0,0,0,1
measurement,0,2,0.058,0,0,0,2
measurement,0,2,0.108,0,0,0,3
measurement,0,2,0.325,0,0,0,4
measurement,0,2,0.537,0,0,0,5
measurement,0,2,0.663,0,0,0,6
measurement,0,2,0.852,0,0,0,7
measurement,0,2,1.059,0,0,0,8
measurement,0,2,1.068,0,0,0,9
measurement,0,2,1.159,0,0,0,10
measurement,0,2,1.271,0,0,0,11
measurement,1,0,0.042,0.5,0,0,0
measurement,1,0,0.043,0.5,0,0,1
measurement,1,0,0.046,0.5,0,0,2
measurement,1,0,0.049,0.5,0,0,3
measurement,1,0,0.055,0.5,0,0,4
measurement,1,0,0.063,0.5,0,0,5
measurement,1,0,0.079,0.5,0,0,6
measurement,1,0,0.097,0.5,0,0,7
measurement,1,0,0.129,0.5,0,0,8
measurement,1,0,0.174,0.5,0,0,9
measurement,1,0,0.232,0.5,0,0,10
measurement,1,0,0.275,0.5,0,0,11
measurement,1,1,0.042,0.5,0,0,0
measurement,1,1,0.043,0.5,0,0,1
measurement,1,1,0.043,0.5,0,0,2
measurement,1,1,0.044,0.5,0,0,3
measurement,1,1,0.044,0.5,0,0,4
measurement,1,1,0.044,0.5,0,0,5
measurement,1,1,0.049,0.5,0,0,6
measurement,1,1,0.045,0.5,0,0,7
measurement,1,1,0.046,0.5,0,0,8
measurement,1,1,0.046,0.5,0,0,9
measurement,1,1,0.047,0.5,0,0,10
measurement,1,1,0.048,0.5,0,0,11
measurement,1,2,0.048,0.5,0,0,0
measurement,1,2,0.045,0.5,0,0,1
measurement,1,2,0.047,0.5,0,0,2
measurement,1,2,0.052,0.5,0,0,3
measurement,1,2,0.059,0.5,0,0,4
measurement,1,2,0.07,0.5,0,0,5
measurement,1,2,0.089,0.5,0,0,6
measurement,1,2,0.111,0.5,0,0,7
measurement,1,2,0.154,0.5,0,0,8
measurement,1,2,0.212,0.5,0,0,9
measurement,1,2,0.271,0.5,0,0,10
measurement,1,2,0.321,0.5,0,0,11
measurement,2,0,0.044,0,1,0,0
measurement,2,0,0.046,0,1,0,1
measurement,2,0,0.065,0,1,0,2
measurement,2,0,0.137,0,1,0,3
measurement,2,0,0.385,0,1,0,4
measurement,2,0,0.591,0,1,0,5
measurement,2,0,0.732,0,1,0,6
measurement,2,0,0.848,0,1,0,7
measurement,2,0,0.976,0,1,0,8
measurement,2,0,1.068,0,1,0,9
measurement,2,0,1.085,0,1,0,10
measurement,2,0,1.078,0,1,0,11
measurement,2,1,0.043,0,1,0,0
measurement,2,1,0.045,0,1,0,1
measurement,2,1,0.058,0,1,0,2
measurement,2,1,0.111,0,1,0,3
measurement,2,1,0.357,0,1,0,4
measurement,2,1,0.552,0,1,0,5
measurement,2,1,0.664,0,1,0,6
measurement,2,1,0.786,0,1,0,7
measurement,2,1,0.916,0,1,0,8
